GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition.config.model,ConditionRouterRule,10,0,0,0,5,0,3,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition.config.model,ConditionRuleParser,30,0,2,0,8,0,3,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition,ConditionRouter,616,0,84,0,118,0,53,0,11,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition,ConditionRouterFactory,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition,ConditionRouter.MatchPair,121,0,28,0,26,0,16,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,LongArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,BooleanArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,IntArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,MapMerger,35,0,6,0,8,0,5,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,ListMerger,36,0,6,0,8,0,5,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,DoubleArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,MergerFactory,86,0,14,0,25,0,11,0,4,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,CharArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,FloatArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,ByteArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,SetMerger,36,0,6,0,8,0,5,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,ArrayMerger,120,0,22,0,27,0,14,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.merger,ShortArrayMerger,80,0,12,0,14,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition.config,ServiceRouterFactory,9,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition.config,AppRouterFactory,33,0,4,0,9,0,5,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition.config,ListenableRouter,190,0,28,0,42,0,24,0,10,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition.config,AppRouter,11,0,0,0,3,0,1,0,1,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.condition.config,ServiceRouter,10,0,0,0,3,0,1,0,1,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.script,ScriptRouter,210,0,10,0,44,0,16,0,11,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.script,ScriptRouterFactory,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.directory,StaticDirectory,154,0,20,0,39,0,20,0,10,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.directory,AbstractDirectory,110,0,8,0,33,0,17,0,13,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailfastCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailsafeClusterInvoker,40,0,0,0,9,0,3,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailoverCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,AbstractClusterInvoker,473,0,78,0,98,0,55,0,16,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,BroadcastClusterInvoker,64,0,4,0,20,0,5,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,ClusterUtils,278,0,42,0,59,0,23,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,AvailableCluster,9,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailbackClusterInvoker,157,0,10,0,35,0,10,0,5,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailbackCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,AvailableClusterInvoker,34,0,4,0,7,0,4,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,RegistryAwareCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailoverClusterInvoker,234,0,14,0,45,0,10,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailfastClusterInvoker,92,0,8,0,15,0,6,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,ForkingClusterInvoker.new Runnable() {...},49,0,2,0,9,0,3,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailsafeCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,ForkingCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,MergeableClusterInvoker.new Callable() {...},23,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,AvailableCluster.new AbstractClusterInvoker() {...},37,0,4,0,6,0,4,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,MergeableClusterInvoker,465,0,40,0,91,0,28,0,8,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,RegistryAwareClusterInvoker,62,0,10,0,12,0,8,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,FailbackClusterInvoker.RetryTimerTask,118,0,8,0,26,0,7,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,BroadcastCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,MergeableCluster,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support,ForkingClusterInvoker,168,0,16,0,27,0,10,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator,AbstractConfigurator,301,0,64,0,56,0,37,0,5,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.tag,TagRouter,486,0,72,0,92,0,60,0,24,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.tag,TagRouterFactory,9,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.tag.model,TagRuleParser,50,0,2,0,12,0,3,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.tag.model,Tag,17,0,0,0,7,0,5,0,5,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.tag.model,TagRouterRule,90,0,2,0,20,0,13,0,12,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.extension,AdaptiveClassCodeGenerator,857,0,54,0,117,0,55,0,28,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.extension,ExtensionLoader,2013,0,222,0,383,0,160,0,49,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,NoSuchPropertyException,7,0,0,0,4,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,Proxy,664,0,56,0,125,0,36,0,8,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,ClassGenerator,863,0,96,0,182,0,82,0,34,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,Proxy.new InvocationHandler() {...},18,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,NoSuchMethodException,7,0,0,0,4,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,Mixin,477,0,44,0,81,0,30,0,8,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,Wrapper,1133,0,96,0,175,0,59,0,11,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.bytecode,Wrapper.new Wrapper() {...},106,0,10,0,19,0,14,0,9,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.threadlocal,InternalThread,46,0,0,0,19,0,10,0,10,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.threadlocal,InternalThreadLocal,202,0,30,0,68,0,29,0,14,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.threadlocal,InternalThreadLocalMap,262,0,24,0,74,0,28,0,16,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.threadlocal,NamedInternalThreadFactory,40,0,0,0,10,0,4,0,4,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.timer,HashedWheelTimer.HashedWheelBucket,219,0,36,0,60,0,24,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.timer,HashedWheelTimer.Worker,262,0,30,0,65,0,21,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.timer,HashedWheelTimer,530,0,54,0,114,0,46,0,18,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.timer,HashedWheelTimer.HashedWheelTimeout,182,0,18,0,51,0,21,0,12,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger.log4j2,Log4j2LoggerAdapter,89,0,24,0,35,0,21,0,9,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger.log4j2,Log4j2Logger,136,0,10,0,38,0,26,0,21,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger,Level,74,0,0,0,8,0,1,0,1,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger,LoggerFactory,175,0,16,0,37,0,20,0,10,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger.jcl,JclLogger,106,0,0,0,38,0,21,0,21,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger.jcl,JclLoggerAdapter,29,0,0,0,9,0,7,0,7,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger.log4j,Log4jLogger,177,0,10,0,39,0,27,0,22,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger.log4j,Log4jLoggerAdapter,127,0,32,0,49,0,25,0,9,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.logger.support,FailsafeLogger,195,0,0,0,82,0,24,0,24,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,AbstractPrefixConfiguration,84,0,16,0,14,0,10,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,PropertiesConfiguration,17,0,0,0,6,0,4,0,4,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,CompositeConfiguration,132,0,14,0,29,0,16,0,9,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,Configuration,168,0,44,0,32,0,28,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,ConfigurationUtils,95,0,10,0,25,0,12,0,7,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,EnvironmentConfiguration,13,0,0,0,5,0,3,0,3,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,InmemoryConfiguration,40,0,4,0,14,0,8,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,Environment,276,0,10,0,61,0,33,0,28,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.config,SystemConfiguration,13,0,0,0,5,0,3,0,3,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.status,Status.Level,44,0,0,0,5,0,1,0,1,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.status,Status,33,0,0,0,12,0,6,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common,URL,3359,0,478,0,716,0,381,0,142,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common,Constants,136,0,0,0,15,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common,URLBuilder,648,0,78,0,152,0,80,0,41,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common,Version,376,0,56,0,93,0,43,0,15,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common,Parameters,420,0,56,0,104,0,59,0,31,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSONToken,42,0,13,0,20,0,15,0,3,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSON,1027,0,100,0,283,0,93,0,19,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSON.Entry,9,0,0,0,4,0,1,0,1,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSONReader.new ThreadLocal() {...},3,0,0,0,1,0,1,0,1,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter,674,0,52,0,158,0,30,0,4,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSONArray,206,0,36,0,35,0,33,0,15,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,J2oVisitor,872,0,140,0,206,0,85,0,15,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSONObject,244,0,38,0,41,0,35,0,16,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSONWriter.State,9,0,0,0,4,0,1,0,1,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},13,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},9,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},9,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,Yylex,6730,0,102,0,218,0,99,0,21,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},12,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},19,0,4,0,4,0,4,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},19,0,4,0,4,0,4,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},14,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSONWriter,464,0,31,0,91,0,35,0,18,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},9,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,JSONReader,68,0,8,0,19,0,10,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},11,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},35,0,4,0,8,0,4,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},52,0,6,0,9,0,5,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.json,ParseException,7,0,0,0,4,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.threadpool.support,AbortPolicyWithReport,201,0,6,0,36,0,8,0,5,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.new PrivilegedAction() {...},17,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.JavaFileManagerImpl,209,0,28,0,40,0,22,0,8,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,ClassUtils,842,0,169,0,191,0,131,0,39,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,AbstractCompiler,130,0,10,0,22,0,8,0,3,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,JavassistCompiler,169,0,12,0,31,0,12,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.ClassLoaderImpl,93,0,6,0,21,0,9,0,6,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler,208,0,14,0,33,0,9,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,AdaptiveCompiler,31,0,4,0,9,0,5,0,3,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.JavaFileObjectImpl,61,0,2,0,15,0,8,0,7,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.compiler.support,CtClassBuilder,251,0,16,0,56,0,25,0,17,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.extension.support,ActivateComparator.ActivateInfo,24,0,4,0,3,0,5,0,3,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.extension.support,ActivateComparator,206,0,44,0,51,0,27,0,5,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.status.support,StatusUtils,78,0,12,0,20,0,8,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.status.support,LoadStatusChecker,79,0,8,0,13,0,6,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.status.support,MemoryStatusChecker,81,0,4,0,8,0,4,0,2,0
dubbo-metadata-report-api/dubbo-common,org.apache.dubbo.common.threadpool.support.eager,EagerThreadPool,62,0,2,0,10,0,3,0,2,0
